LC08_L1TP_230012_20190526_20190605_01_T1	LC82300122019146LGN00
LC08_L1TP_230012_20190510_20190521_01_T1	LC82300122019130LGN00
LC08_L1TP_229012_20190503_20190520_01_T1	LC82290122019123LGN00
LC08_L1TP_231012_20190501_20190508_01_T1	LC82310122019121LGN00
LC08_L1TP_230012_20190408_20190422_01_T1	LC82300122019098LGN00
LC08_L1TP_229012_20190401_20190421_01_T1	LC82290122019091LGN00
LC08_L1TP_230012_20190307_20190324_01_T2	LC82300122019066LGN00
LC08_L1TP_230012_20190203_20190206_01_T1	LC82300122019034LGN00
LC08_L1TP_230012_20181030_20181115_01_T2	LC82300122018303LGN00
LC08_L1TP_231012_20181005_20181010_01_T1	LC82310122018278LGN00
LC08_L1TP_229012_20180921_20180928_01_T1	LC82290122018264LGN00
LC08_L1TP_231012_20180919_20180928_01_T1	LC82310122018262LGN00
LC08_L1TP_231012_20180903_20180912_01_T1	LC82310122018246LGN00
LC08_L1TP_230012_20180827_20180911_01_T1	LC82300122018239LGN00
LC08_L1TP_231012_20180818_20180829_01_T1	LC82310122018230LGN00
LC08_L1TP_229012_20180804_20180814_01_T1	LC82290122018216LGN00
LC08_L1TP_230012_20180726_20180731_01_T1	LC82300122018207LGN00
LC08_L1TP_072232_20180723_20180731_01_T2	LC80722322018204LGN00
LC08_L1TP_231012_20180717_20180730_01_T1	LC82310122018198LGN00
LC08_L1TP_071232_20180716_20180730_01_T2	LC80712322018197LGN00
LC08_L1TP_073232_20180714_20180730_01_T2	LC80732322018195LGN00
LC08_L1TP_229012_20180617_20180703_01_T1	LC82290122018168LGN00
LC08_L1TP_231012_20180615_20180703_01_T1	LC82310122018166LGN00
LC08_L1TP_231012_20180530_20180614_01_T1	LC82310122018150LGN00
LC08_L1TP_229012_20180516_20180604_01_T1	LC82290122018136LGN00
LC08_L1TP_230012_20180507_20180517_01_T1	LC82300122018127LGN00
LC08_L1TP_230012_20180421_20180502_01_T1	LC82300122018111LGN00
LC08_L1TP_230012_20180405_20180417_01_T2	LC82300122018095LGN00
LC08_L1TP_229012_20180329_20180405_01_T1	LC82290122018088LGN00
LC08_L1TP_230012_20180320_20180403_01_T2	LC82300122018079LGN00
LC08_L1TP_229012_20180313_20180320_01_T1	LC82290122018072LGN00
LC08_L1TP_229012_20171004_20171014_01_T1	LC82290122017277LGN00
